name,avg_time,tot_time,repeats,threads,chart_size
late_parallel,70.1433,70.1433,1,1,29891328
late_parallel,33.4666,33.4666,1,2,29891328
late_parallel,23.7816,23.7816,1,3,29891328
late_parallel,18.5842,18.5842,1,4,29891328
late_parallel,15.431,15.431,1,5,29891328
late_parallel,13.1914,13.1914,1,6,29891328
late_parallel,11.5513,11.5513,1,7,29891328
late_parallel,10.3784,10.3784,1,8,29891328
late_parallel,9.54953,9.54953,1,9,29891328
late_parallel,8.93748,8.93748,1,10,29891328
late_parallel,8.3586,8.3586,1,11,29891328
late_parallel,7.9554,7.9554,1,12,29891328
late_parallel,7.60109,7.60109,1,13,29891328
late_parallel,7.48996,7.48996,1,14,29891328
late_parallel,9.61036,9.61036,1,15,29891328
late_parallel,7.26085,7.26085,1,16,29891328
late_parallel,6.989,6.989,1,17,29891328
late_parallel,6.74224,6.74224,1,18,29891328
late_parallel,6.8055,6.8055,1,19,29891328
late_parallel,5.99315,5.99315,1,20,29891328
late_serial,31.1471,31.1471,1,1,29891328
earley_serial,2387,2387,1,1,29891328
