name,avg_time,tot_time,repeats,threads,chart_size
late_serial,1.13322,1.13322,1,1,1481472
earley_serial,81.8526,81.8526,1,1,1481472
late_parallel,1.30781,1.30781,1,1,1481472
late_parallel,1.82808,1.82808,1,2,2960640
late_parallel,2.23887,2.23887,1,3,4449024
late_parallel,2.65461,2.65461,1,4,5958400
late_parallel,3.04025,3.04025,1,5,7446016
late_parallel,3.35583,3.35583,1,6,8934656
late_parallel,3.61957,3.61957,1,7,10433792
late_parallel,3.95614,3.95614,1,8,11946496
late_parallel,4.76116,4.76116,1,9,13411328
late_parallel,4.60004,4.60004,1,10,14885632
late_parallel,4.40048,4.40048,1,11,14885632
late_parallel,4.21405,4.21405,1,12,14885632
late_parallel,4.22666,4.22666,1,13,14885632
late_parallel,4.12829,4.12829,1,14,14885632
late_parallel,6.51211,6.51211,1,15,14885632
late_parallel,3.76771,3.76771,1,16,14885632
late_parallel,4.1554,4.1554,1,17,14885632
late_parallel,5.98845,5.98845,1,18,14885632
late_parallel,6.34988,6.34988,1,19,14885632
late_parallel,6.21019,6.21019,1,20,14885632
