name,avg_time,tot_time,repeats,threads,chart_size
late_parallel,8.96112,8.96112,1,1,3236409
late_parallel,4.5257,4.5257,1,2,3236409
late_parallel,3.52124,3.52124,1,3,3236409
late_parallel,3.04425,3.04425,1,4,3236409
late_parallel,2.60969,2.60969,1,5,3236409
late_parallel,2.46126,2.46126,1,6,3236409
late_parallel,2.16645,2.16645,1,7,3236409
late_parallel,2.09945,2.09945,1,8,3236409
late_parallel,1.937,1.937,1,9,3236409
late_parallel,1.85085,1.85085,1,10,3236409
late_parallel,1.77219,1.77219,1,11,3236409
late_parallel,1.71937,1.71937,1,12,3236409
late_parallel,1.6585,1.6585,1,13,3236409
late_parallel,1.63694,1.63694,1,14,3236409
late_parallel,1.66788,1.66788,1,15,3236409
late_parallel,1.60323,1.60323,1,16,3236409
late_parallel,1.90687,1.90687,1,17,3236409
late_parallel,1.54601,1.54601,1,18,3236409
late_parallel,1.52708,1.52708,1,19,3236409
late_parallel,1.49864,1.49864,1,20,3236409
late_serial,7.43015,7.43015,1,1,3236409
earley_serial,200.681,200.681,1,1,3236409
