name,avg_time,tot_time,repeats,threads,chart_size
late_serial,0.0350751,1.01674,20,1,161754
earley_serial,0.137938,1.10772,8,1,161754
late_parallel,0.0745915,1.00046,9,1,161754
late_parallel,0.117499,1.08954,9,2,323502
late_parallel,0.169322,1.04663,6,3,484374
late_parallel,0.221711,1.13759,4,4,646492
late_parallel,0.288355,1.17926,4,5,808168
late_parallel,0.355031,1.11073,3,6,969590
late_parallel,0.389578,1.21908,3,7,1131301
late_parallel,0.465007,1.45673,3,8,1293207
late_parallel,0.51282,1.07708,2,9,1455751
late_parallel,0.563921,1.4206,2,10,1616719
late_parallel,0.638067,1.32035,2,11,1778697
late_parallel,0.690594,1.66386,2,12,1940240
late_parallel,0.7639,1.57271,2,13,2101696
late_parallel,1.25836,1.25836,1,14,2265280
late_parallel,1.57984,1.57984,1,15,2425062
late_parallel,1.66254,1.66254,1,16,2588706
late_parallel,1.64341,1.64341,1,17,2750763
late_parallel,1.64998,1.64998,1,18,2912541
late_parallel,1.88877,1.88877,1,19,3074306
late_parallel,1.61184,1.61184,1,20,3233860
