name,avg_time,tot_time,repeats,threads,chart_size
late_serial,0.000594639,0.0638352,100,1,2899
earley_serial,0.000309959,0.0318502,100,1,2899
late_parallel,0.00116386,0.117718,100,1,2899
late_parallel,0.00218391,0.223049,100,2,5742
late_parallel,0.00335801,0.340002,100,3,8655
late_parallel,0.00376438,0.385769,100,4,11595
late_parallel,0.00406524,0.422858,100,5,14411
late_parallel,0.00454862,0.468238,100,6,17400
late_parallel,0.00491498,0.508581,100,7,20151
late_parallel,0.00553742,0.573135,100,8,23131
late_parallel,0.00632352,0.658145,100,9,26043
late_parallel,0.0068269,0.707866,100,10,28975
late_parallel,0.00690699,0.71222,100,11,28975
late_parallel,0.00678362,0.710631,100,12,28975
late_parallel,0.00696361,0.718627,100,13,28975
late_parallel,0.00696308,0.721625,100,14,28975
late_parallel,0.00712813,0.874939,100,15,28975
late_parallel,0.00713175,0.863335,100,16,28975
late_parallel,0.00728362,0.841498,100,17,28975
late_parallel,0.00724499,0.784736,100,18,28975
late_parallel,0.00876229,1.00545,97,19,28975
late_parallel,0.0116447,1.01136,79,20,28975
